YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,u,v,dir,vel,urot,vrot
2018,1,1,2,25,0,-0.030392,0.087961,340.94,0.1065,0.040707,0.083689
2018,1,1,3,25,0,0.019701,0.087494,12.69,0.0976,0.075798,0.047936
2018,1,1,4,25,0,-0.058956,0.15835,339.58,0.1845,0.07028,0.15366
2018,1,1,5,25,0,-0.010513,0.22028,357.27,0.2281,0.14833,0.1632
2018,1,1,6,25,0,0.0014354,0.18087,0.45467,0.1953,0.12891,0.12688
2018,1,1,7,25,0,-0.039949,0.11125,340.25,0.1538,0.050415,0.10691
2018,1,1,8,25,0,-0.043841,-0.0078373,259.86,0.0955,-0.036542,0.025458
2018,1,1,9,25,0,-0.0029795,0.046373,356.32,0.0934,0.030684,0.034898
2018,1,1,10,25,0,0.033251,0.092335,19.805,0.1118,0.088803,0.041779
2018,1,1,11,25,0,0.052928,0.08801,31.022,0.1148,0.099658,0.024807
2018,1,1,12,25,0,0.058696,0.085034,34.616,0.1433,0.10163,0.018624
2018,1,1,13,25,0,0.0046531,0.050683,5.2456,0.1441,0.039128,0.032548
2018,1,1,14,25,0,-0.0021688,0.0099302,347.68,0.0884,0.0054881,0.0085553
2018,1,1,15,25,0,-0.0075317,0.0093751,321.22,0.0795,0.0013035,0.011955
2018,1,1,16,25,0,-0.0097694,0.011867,320.54,0.1046,0.0014832,0.015299
2018,1,1,17,25,0,-0.029842,0.011118,290.43,0.1092,-0.013239,0.028963
2018,1,1,18,25,0,-0.024486,0.074592,341.83,0.1474,0.03543,0.070058
2018,1,1,19,25,0,-0.23325,0.0086277,272.12,0.2654,-0.15883,0.17103
2018,1,1,20,25,0,-0.32433,-0.0079055,268.6,0.3345,-0.23492,0.22374
2018,1,1,21,25,0,-0.17627,0.068978,291.37,0.1979,-0.075864,0.17341
2018,1,1,22,25,0,-0.17661,0.040871,283.03,0.2039,-0.095982,0.15378
2018,1,1,23,25,0,0.015979,-0.021637,143.55,0.1678,-0.0040012,-0.026598
2018,1,2,0,25,0,0.066353,-0.052575,128.39,0.2216,0.0097425,-0.084094
2018,1,2,1,25,0,0.074455,-0.034456,114.83,0.2101,0.028284,-0.077012
2018,1,2,2,25,0,0.032128,0.0074428,76.957,0.1615,0.027981,-0.017455
2018,1,2,3,25,0,-0.011098,0.028136,338.47,0.1343,0.012048,0.027743
2018,1,2,4,25,0,0.0061207,0.00564,47.34,0.1007,0.0083161,-0.00033987
2018,1,2,5,25,0,0.033041,-0.007298,102.46,0.1086,0.018203,-0.028524
2018,1,2,6,25,0,0.035268,0.0096628,74.678,0.103,0.031771,-0.018106
2018,1,2,7,25,0,0.01059,0.0078748,53.366,0.0798,0.013057,-0.0019202
2018,1,2,8,25,0,0.0049549,-0.059122,175.21,0.1075,-0.038302,-0.045309
2018,1,2,9,25,0,-0.076999,0.0091007,276.74,0.0909,-0.048011,0.060881
2018,1,2,10,25,0,-0.072851,0.047058,302.86,0.092,-0.018238,0.084788
2018,1,2,11,25,0,0.049432,0.090219,28.719,0.1149,0.098749,0.028841
2018,1,2,12,25,0,0.11317,0.092868,50.628,0.1516,0.14569,-0.014357
2018,1,2,13,25,0,0.075714,0.064162,49.721,0.1181,0.098907,-0.0081688
2018,1,2,14,25,0,0.0025378,0.083019,1.7509,0.1319,0.060498,0.056909
2018,1,2,15,25,0,0.021987,0.11232,11.076,0.1359,0.09497,0.063875
2018,1,2,16,25,0,-0.050867,0.06884,323.54,0.1033,0.012709,0.084646
2018,1,2,17,25,0,-0.049957,0.071663,325.12,0.1427,0.015348,0.085998
2018,1,2,18,25,0,-0.03415,0.036032,316.54,0.1332,0.0013309,0.049626
2018,1,2,19,25,0,-0.058636,0.039917,304.25,0.1697,-0.013237,0.069687
2018,1,2,20,25,0,-0.096659,0.016477,279.67,0.1784,-0.056698,0.079999
2018,1,2,21,25,0,-0.15809,0.028842,280.34,0.194,-0.09139,0.13218
2018,1,2,22,25,0,-0.112,0.0035638,271.82,0.182,-0.076675,0.081715
2018,1,2,23,25,0,-0.019295,-0.037253,207.38,0.1311,-0.039985,-0.012698
2018,1,3,0,25,0,0.040817,-0.014809,109.94,0.0867,0.01839,-0.039333
2018,1,3,1,25,0,0.042866,0.013434,72.6,0.0714,0.03981,-0.020812
2018,1,3,2,25,0,0.010726,-0.0060632,119.48,0.0645,0.0032968,-0.011872
2018,1,3,3,25,0,-0.016118,0.01925,320.06,0.0659,0.0022149,0.025009
2018,1,3,4,25,0,-0.042837,0.036267,310.25,0.0743,-0.0046458,0.055934
2018,1,3,5,25,0,-0.026999,0.038651,325.06,0.0687,0.0082392,0.046421
2018,1,3,6,25,0,-0.040576,0.00094201,271.33,0.0862,-0.028026,0.029358
2018,1,3,7,25,0,0.0046579,0.029496,8.974,0.0944,0.02415,0.017563
2018,1,3,8,25,0,-0.020229,0.06396,342.45,0.1136,0.030922,0.059531
2018,1,3,9,25,0,-0.039254,0.049594,321.64,0.1083,0.0073113,0.062825
2018,1,3,10,25,0,-0.12918,-0.0033373,268.52,0.1478,-0.093705,0.088986
2018,1,3,11,25,0,-0.06938,0.053764,307.77,0.1091,-0.011042,0.087076
2018,1,3,12,25,0,0.046714,0.10399,24.19,0.1234,0.10656,0.040502
2018,1,3,13,25,0,0.1877,0.097887,62.458,0.2137,0.20194,-0.06351
2018,1,3,14,25,0,0.067456,0.026085,68.858,0.0851,0.066144,-0.029253
2018,1,3,15,25,0,0.1523,0.027226,79.865,0.1694,0.12694,-0.08844
2018,1,3,16,25,0,0.17274,0.13188,52.64,0.2265,0.2154,-0.028893
2018,1,3,17,25,0,0.21932,0.1953,48.315,0.3062,0.29318,-0.016983
2018,1,3,18,25,0,0.19502,0.22344,41.115,0.3087,0.2959,0.020094
2018,1,3,19,25,0,0.34495,0.20821,58.885,0.414,0.39114,-0.096693
2018,1,3,20,25,0,0.3752,0.1813,64.21,0.4296,0.3935,-0.13711
2018,1,3,21,25,0,0.30446,0.21986,54.166,0.3931,0.37075,-0.059825
