,datahora,s_1,s_10,s_120,s_20,s_40,s_60,s_80,t_1,t_10,t_100,t_120,t_13,t_140,t_180,t_20,t_300,t_40,t_5,t_500,t_60,t_80
0,2020-04-01 12:00:00+00:00,-9999.0,-99999.0,36.602,36.397,36.675,-99999.0,-99999.0,-9999.0,-99999.0,24.74,22.18,-99999.0,18.86,13.68,29.64,10.58,29.43,-99999.0,8.05,28.6,26.13
1,2020-04-02 12:00:00+00:00,-9999.0,-99999.0,36.598,36.498,36.676,-99999.0,-99999.0,-9999.0,-99999.0,24.78,22.24,-99999.0,18.7,13.7,29.63,10.52,29.41,-99999.0,8.02,28.51,26.02
2,2020-04-03 12:00:00+00:00,-9999.0,-99999.0,36.685,36.67,36.66,-99999.0,-99999.0,-9999.0,-99999.0,24.96,22.37,-99999.0,18.65,13.89,29.66,10.62,29.42,-99999.0,8.09,28.54,26.17
3,2020-04-04 12:00:00+00:00,-9999.0,-99999.0,36.65,36.636,36.527,-99999.0,-99999.0,-9999.0,-99999.0,24.86,22.45,-99999.0,19.04,13.92,29.69,10.59,29.62,-99999.0,7.98,28.69,26.14
4,2020-04-05 12:00:00+00:00,-9999.0,-99999.0,36.602,36.608,36.589,-99999.0,-99999.0,-9999.0,-99999.0,24.91,22.17,-99999.0,18.75,13.55,29.72,10.47,29.56,-99999.0,7.96,28.57,26.08
5,2020-04-06 12:00:00+00:00,-9999.0,-99999.0,36.653,36.658,36.645,-99999.0,-99999.0,-9999.0,-99999.0,25.05,22.58,-99999.0,19.08,14.3,29.71,10.6,29.51,-99999.0,8.02,28.8,26.24
6,2020-04-07 12:00:00+00:00,-9999.0,-99999.0,36.671,36.687,36.592,-99999.0,-99999.0,-9999.0,-99999.0,24.67,22.56,-99999.0,19.21,13.76,29.77,10.48,29.59,-99999.0,7.9,28.66,26.02
7,2020-04-08 12:00:00+00:00,-9999.0,-99999.0,36.669,36.717,36.538,-99999.0,-99999.0,-9999.0,-99999.0,25.03,22.56,-99999.0,18.7,13.9,29.72,10.57,29.69,-99999.0,8.03,28.92,26.28
8,2020-04-09 12:00:00+00:00,-9999.0,-99999.0,36.697,36.733,36.555,-99999.0,-99999.0,-9999.0,-99999.0,24.97,22.86,-99999.0,19.63,14.19,29.71,10.58,29.64,-99999.0,8.19,28.74,26.29
9,2020-04-10 12:00:00+00:00,-9999.0,-99999.0,36.723,36.778,36.57,-99999.0,-99999.0,-9999.0,-99999.0,25.16,23.04,-99999.0,19.6,14.06,29.79,10.53,29.71,-99999.0,8.07,28.89,26.37
10,2020-04-11 12:00:00+00:00,-9999.0,-99999.0,36.739,36.791,36.556,-99999.0,-99999.0,-9999.0,-99999.0,25.09,23.09,-99999.0,19.19,14.12,29.83,10.66,29.78,-99999.0,8.27,28.98,26.32
